Section	Temperature Measurements	Expected Robots	Actual Robots	Goal Fulfilment Times
B	[12.13, 27.22, 18.53, 17.7, 23.45, 16.85, 14.19, 18.72, 24.22, 21.94]	1.0	0.0	0
D	[10.46, 21.7, 23.44, 15.71, 22.18, 25.17, 23.51, 29.66, 25.63, 12.24]	2.0	0.0	0
C	[26.99, 23.09, 25.94, 30.16, 29.36, 25.91, 26.94, 25.4, 15.33, 25.56]	3.0	2.0	228
B	[16.99, 27.38, 12.44, 25.98, 18.92, 17.18, 27.7, 25.92, 11.65, 16.37]	3.0	2.0	91
A	[19.79, 29.97, 16.29, 28.94, 28.78, 19.46, 13.63, 23.69, 25.02, 14.94]	4.0	2.0	171
D	[23.74, 22.92, 18.64, 21.09, 25.1, 24.29, 16.89, 12.28, 13.7, 14.01]	3.0	1.0	264
A	[27.97, 17.46, 15.75, 23.93, 15.5, 24.66, 25.02, 15.41, 19.63, 10.39]	4.0	4.0	200
A	[22.42, 13.77, 19.93, 23.99, 14.12, 11.29, 19.58, 28.55, 12.29, 23.64]	3.0	1.0	260
C	[19.85, 15.51, 11.31, 26.94, 13.55, 19.03, 24.26, 16.04, 28.45, 22.2]	4.0	4.0	188
C	[16.84, 14.47, 18.31, 23.53, 28.04, 15.02, 11.5, 21.41, 21.19, 17.83]	3.0	2.0	131
A	[15.29, 15.79, 13.42, 24.09, 21.65, 28.62, 25.56, 23.11, 20.74, 13.08]	4.0	0.0	0
A	[20.36, 22.95, 20.46, 27.69, 10.82, 25.11, 20.58, 27.93, 28.12, 27.52]	2.0	0.0	0
C	[18.85, 28.11, 21.92, 19.89, 14.39, 26.82, 20.25, 17.21, 27.04, 30.11]	2.0	2.0	176
D	[17.4, 29.94, 22.83, 25.88, 24.09, 28.01, 10.54, 12.02, 18.23, 14.05]	2.0	0.0	0
B	[13.04, 24.58, 11.33, 18.82, 26.1, 15.78, 12.0, 19.44, 16.96, 24.74]	1.0	1.0	293
D	[23.77, 19.66, 12.01, 28.06, 28.78, 18.37, 12.3, 26.16, 14.75, 27.48]	1.0	0.0	0
C	[11.9, 11.53, 20.42, 28.92, 24.32, 12.47, 28.86, 18.24, 11.46, 12.92]	4.0	1.0	296
B	[16.2, 25.26, 23.35, 14.01, 19.25, 20.55, 12.55, 21.38, 25.76, 19.95]	4.0	3.0	165
C	[26.1, 19.61, 21.1, 13.8, 27.32, 12.13, 21.3, 16.62, 28.63, 29.47]	4.0	1.0	182
D	[15.5, 22.74, 17.75, 23.79, 11.91, 25.63, 27.23, 25.53, 28.58, 18.19]	3.0	2.0	229
B	[17.67, 20.22, 25.87, 25.03, 29.62, 23.25, 25.28, 22.62, 13.7, 26.29]	3.0	0.0	0
C	[22.96, 19.46, 12.69, 29.61, 24.51, 13.63, 27.9, 12.06, 29.06, 20.13]	3.0	2.0	203
B	[21.08, 26.45, 14.64, 12.04, 16.74, 23.22, 29.5, 18.56, 23.15, 17.64]	2.0	2.0	159
C	[20.04, 23.8, 27.53, 16.06, 18.3, 28.87, 14.0, 21.88, 24.2, 26.0]	2.0	2.0	194
B	[18.6, 16.22, 18.64, 29.84, 12.03, 10.99, 10.26, 12.31, 29.77, 19.34]	2.0	2.0	260
C	[17.73, 24.66, 19.43, 15.75, 27.33, 18.08, 29.95, 12.36, 23.54, 12.52]	3.0	0.0	0
A	[19.65, 22.07, 22.13, 27.24, 26.33, 26.87, 22.76, 29.64, 13.84, 27.22]	2.0	1.0	221
C	[17.25, 20.93, 13.81, 26.15, 13.71, 21.67, 18.31, 20.76, 23.67, 17.65]	1.0	0.0	0
D	[13.82, 18.52, 14.26, 15.38, 19.74, 19.41, 13.43, 20.46, 22.08, 11.1]	2.0	2.0	170
D	[17.81, 26.0, 18.42, 28.66, 13.22, 21.02, 10.96, 22.81, 13.82, 11.48]	2.0	2.0	103
C	[24.72, 19.59, 24.9, 16.11, 26.97, 10.75, 22.13, 21.0, 14.07, 12.08]	4.0	1.0	184
A	[25.22, 20.44, 24.52, 17.27, 21.92, 26.26, 10.87, 15.02, 26.91, 18.68]	1.0	1.0	178
B	[24.23, 26.0, 28.6, 29.97, 15.15, 21.86, 17.45, 20.59, 17.64, 16.91]	3.0	1.0	125
A	[22.8, 11.57, 21.8, 29.44, 22.19, 24.49, 25.35, 21.59, 12.86, 19.65]	3.0	2.0	129
C	[21.77, 17.75, 13.54, 14.54, 12.24, 26.77, 24.97, 12.2, 20.85, 17.6]	2.0	1.0	222
B	[14.95, 29.78, 19.32, 14.12, 18.77, 15.14, 24.48, 17.15, 11.45, 12.24]	4.0	0.0	0
D	[17.38, 19.07, 20.57, 10.34, 15.84, 12.41, 10.73, 24.69, 29.36, 12.92]	4.0	2.0	251
B	[24.36, 17.03, 15.24, 16.94, 16.71, 25.67, 26.52, 14.53, 21.36, 29.04]	4.0	4.0	190
C	[19.74, 16.09, 27.14, 29.61, 10.38, 28.41, 23.55, 12.94, 26.44, 21.18]	2.0	0.0	0
B	[25.42, 10.7, 14.59, 20.84, 25.94, 26.01, 25.77, 29.84, 25.9, 13.45]	1.0	1.0	121
B	[24.92, 21.77, 26.27, 22.86, 23.49, 24.19, 10.84, 19.28, 23.03, 27.68]	3.0	1.0	177
A	[17.33, 13.34, 29.33, 23.75, 23.86, 11.17, 18.06, 21.8, 21.12, 21.56]	3.0	2.0	192
C	[26.96, 11.74, 28.24, 14.85, 19.59, 25.71, 15.61, 26.73, 12.3, 22.62]	1.0	0.0	0
D	[25.94, 14.21, 16.41, 26.13, 28.6, 17.95, 21.39, 15.32, 25.57, 22.78]	2.0	0.0	0
A	[23.31, 29.88, 28.03, 19.68, 28.75, 26.02, 21.59, 28.94, 17.76, 24.42]	4.0	4.0	136
C	[17.25, 26.37, 11.2, 19.96, 19.85, 23.1, 14.44, 14.08, 22.01, 26.91]	2.0	1.0	244
B	[14.56, 14.27, 14.48, 28.49, 21.17, 10.47, 12.96, 14.67, 27.73, 27.13]	1.0	1.0	260
B	[18.04, 18.97, 11.79, 22.92, 27.04, 16.85, 25.35, 28.67, 22.23, 18.34]	1.0	1.0	271
A	[13.28, 12.14, 11.25, 21.92, 12.37, 29.86, 11.33, 29.42, 11.41, 24.08]	4.0	1.0	279
C	[14.55, 11.15, 20.79, 24.84, 17.89, 29.05, 29.15, 29.74, 18.9, 17.54]	1.0	1.0	195
A	[10.36, 22.92, 25.64, 29.44, 28.77, 25.49, 25.3, 20.05, 22.44, 15.97]	3.0	0.0	0
D	[17.98, 10.41, 29.36, 19.93, 15.06, 30.3, 17.15, 12.54, 27.5, 20.91]	4.0	4.0	141
D	[27.87, 21.72, 17.7, 26.25, 19.24, 30.09, 29.85, 27.22, 18.92, 14.5]	3.0	3.0	224
A	[11.22, 16.6, 15.6, 14.39, 15.61, 17.33, 29.58, 23.9, 12.02, 29.82]	3.0	2.0	146
D	[14.82, 20.3, 27.98, 17.82, 26.87, 25.19, 27.99, 13.41, 21.35, 28.74]	2.0	2.0	110
A	[20.47, 13.31, 24.05, 18.24, 15.64, 21.23, 25.25, 20.47, 12.73, 21.88]	3.0	2.0	256
A	[23.99, 15.57, 11.56, 17.49, 10.97, 12.97, 27.73, 28.54, 24.71, 15.06]	4.0	2.0	126
B	[23.12, 29.57, 22.61, 27.46, 24.55, 29.06, 10.95, 22.72, 13.79, 23.96]	2.0	1.0	288
D	[18.89, 13.09, 15.26, 24.47, 17.9, 14.9, 18.56, 30.25, 10.45, 19.16]	1.0	1.0	138
A	[26.15, 16.59, 21.64, 15.99, 19.0, 24.19, 27.36, 10.76, 20.33, 17.54]	1.0	1.0	270
B	[21.52, 18.91, 20.96, 25.14, 21.95, 20.94, 23.68, 17.39, 20.13, 15.13]	3.0	2.0	242
B	[27.26, 19.07, 21.9, 19.75, 21.38, 21.49, 20.86, 10.63, 10.55, 15.92]	3.0	1.0	219
B	[19.8, 23.63, 16.3, 10.75, 11.32, 15.77, 15.64, 25.34, 10.52, 16.19]	1.0	0.0	0
B	[16.56, 17.56, 18.58, 20.16, 22.14, 24.16, 21.03, 29.9, 22.66, 25.09]	2.0	1.0	173
B	[22.93, 19.37, 19.04, 22.97, 21.13, 19.62, 22.38, 28.76, 10.53, 27.85]	2.0	2.0	102
B	[22.21, 18.25, 16.26, 21.34, 25.94, 11.6, 15.14, 22.54, 25.69, 24.22]	1.0	0.0	0
C	[23.94, 16.91, 25.18, 19.12, 19.39, 26.3, 21.03, 28.52, 28.41, 25.4]	2.0	2.0	276
D	[18.6, 26.65, 17.25, 27.41, 14.03, 26.44, 27.16, 10.51, 12.08, 15.63]	4.0	1.0	200
C	[27.29, 22.29, 22.75, 25.54, 14.26, 26.02, 19.01, 11.93, 25.84, 27.98]	1.0	1.0	73
C	[24.69, 30.2, 23.61, 19.76, 28.07, 21.36, 18.9, 11.83, 15.57, 22.97]	3.0	0.0	0
C	[28.99, 23.46, 14.43, 16.88, 27.59, 19.41, 29.08, 21.53, 20.34, 27.35]	3.0	1.0	185
A	[25.2, 17.4, 18.06, 28.22, 15.39, 28.25, 14.17, 27.19, 22.18, 10.42]	4.0	0.0	0
B	[21.29, 25.08, 11.86, 19.18, 21.48, 16.9, 24.99, 19.6, 10.86, 10.25]	1.0	1.0	192
B	[24.29, 22.21, 10.72, 29.88, 16.83, 16.58, 20.38, 17.98, 16.83, 26.98]	2.0	0.0	0
B	[27.74, 23.09, 18.87, 27.84, 25.7, 26.12, 24.01, 10.25, 27.59, 19.06]	4.0	1.0	224
C	[19.95, 15.65, 19.22, 24.61, 16.06, 13.45, 15.75, 13.5, 29.8, 25.63]	4.0	3.0	275
B	[24.23, 30.09, 17.07, 21.66, 27.14, 21.63, 21.49, 21.92, 23.06, 29.43]	1.0	1.0	283
D	[16.71, 21.24, 27.71, 24.34, 13.37, 29.43, 29.29, 12.45, 29.32, 21.56]	3.0	0.0	0
B	[25.28, 27.23, 25.11, 26.07, 14.34, 27.49, 23.52, 18.98, 13.78, 17.46]	4.0	0.0	0
B	[20.96, 13.47, 13.0, 16.16, 26.51, 21.68, 16.15, 14.22, 10.55, 28.78]	2.0	1.0	169
D	[11.97, 24.44, 22.32, 12.25, 13.11, 15.78, 28.21, 25.38, 29.77, 24.5]	4.0	2.0	136
B	[11.32, 27.86, 26.91, 18.53, 20.17, 16.79, 11.52, 21.85, 13.77, 20.42]	1.0	1.0	291
C	[21.34, 24.06, 19.69, 20.88, 11.19, 18.56, 27.42, 22.7, 29.25, 26.92]	2.0	2.0	164
C	[26.71, 24.16, 28.74, 30.04, 18.66, 11.38, 23.96, 14.28, 22.25, 11.43]	2.0	0.0	0
C	[18.25, 16.54, 19.22, 24.98, 21.11, 15.44, 18.34, 12.05, 20.14, 22.43]	4.0	2.0	182
D	[16.05, 25.07, 28.29, 11.25, 29.71, 23.32, 12.16, 28.41, 28.31, 28.47]	2.0	0.0	0
D	[20.5, 28.74, 24.2, 21.9, 14.55, 25.37, 23.42, 19.91, 29.57, 20.62]	3.0	3.0	264
B	[28.89, 17.11, 13.47, 17.47, 21.39, 28.19, 12.44, 14.62, 28.75, 30.19]	2.0	0.0	0
C	[13.72, 17.74, 24.75, 16.77, 18.19, 13.7, 14.88, 25.09, 25.15, 27.44]	1.0	0.0	0
A	[21.75, 11.38, 21.84, 14.38, 27.28, 15.88, 15.61, 18.72, 21.19, 19.56]	1.0	1.0	76
C	[12.39, 26.36, 14.8, 11.71, 11.55, 23.29, 23.12, 11.25, 14.74, 19.98]	2.0	0.0	0
C	[19.73, 17.15, 20.05, 11.3, 28.5, 15.63, 26.2, 27.89, 29.12, 14.79]	2.0	0.0	0
C	[13.12, 20.66, 16.93, 25.3, 15.21, 24.23, 15.41, 26.11, 15.42, 21.24]	3.0	0.0	0
C	[22.62, 19.86, 13.51, 30.26, 12.36, 10.77, 14.95, 16.26, 28.89, 23.25]	2.0	2.0	138
D	[11.42, 19.46, 29.86, 11.57, 26.37, 21.72, 30.1, 10.49, 15.76, 25.39]	2.0	1.0	249
A	[24.45, 22.57, 22.97, 21.0, 17.83, 19.01, 25.32, 13.67, 16.28, 10.9]	4.0	1.0	299
D	[13.84, 14.18, 20.99, 13.2, 21.43, 12.94, 19.92, 25.7, 16.92, 25.39]	1.0	0.0	0
D	[13.71, 16.61, 23.77, 13.94, 27.27, 15.2, 12.23, 13.08, 11.3, 14.9]	3.0	1.0	141
B	[20.86, 22.89, 28.22, 17.88, 29.81, 29.78, 24.83, 24.59, 30.07, 12.39]	2.0	2.0	255
A	[23.06, 24.72, 16.16, 24.89, 23.77, 19.03, 20.08, 14.28, 20.1, 16.55]	4.0	4.0	179
D	[13.91, 24.7, 13.64, 12.89, 22.78, 22.0, 26.01, 22.04, 22.68, 18.95]	4.0	2.0	215
A	[14.11, 10.57, 27.62, 11.09, 11.89, 13.18, 16.2, 21.61, 24.98, 21.75]	2.0	2.0	291
A	[29.71, 27.32, 17.52, 18.74, 10.6, 19.24, 17.03, 29.88, 29.19, 10.72]	1.0	1.0	244
B	[16.1, 21.37, 20.61, 22.35, 27.24, 26.05, 20.69, 10.33, 20.61, 29.98]	3.0	0.0	0
A	[11.77, 28.35, 21.76, 21.99, 29.54, 11.04, 22.5, 25.56, 21.42, 13.44]	2.0	2.0	188
A	[18.79, 16.99, 20.69, 28.12, 22.56, 16.39, 12.64, 29.75, 21.54, 24.58]	1.0	0.0	0
A	[24.83, 22.34, 13.48, 18.29, 14.98, 25.27, 12.98, 14.84, 21.42, 11.8]	3.0	1.0	227
C	[29.65, 21.82, 17.54, 13.5, 28.17, 29.59, 26.65, 17.67, 19.59, 25.97]	3.0	3.0	115
A	[23.01, 20.57, 30.26, 11.45, 10.82, 13.6, 16.59, 25.23, 27.95, 24.52]	1.0	0.0	0
C	[10.91, 28.57, 27.24, 13.51, 12.89, 20.46, 29.99, 22.08, 26.33, 23.8]	3.0	1.0	177
D	[22.22, 27.9, 24.37, 29.99, 25.53, 22.0, 28.25, 13.0, 25.14, 29.79]	2.0	1.0	172
A	[16.57, 19.95, 17.39, 28.99, 18.26, 17.19, 22.89, 15.11, 24.55, 14.33]	1.0	1.0	194
C	[27.88, 12.99, 24.52, 23.69, 23.73, 21.71, 22.43, 27.35, 10.82, 25.06]	1.0	1.0	163
A	[12.13, 23.95, 26.41, 20.81, 10.24, 24.06, 10.36, 15.27, 18.64, 30.2]	4.0	3.0	157
A	[19.1, 13.19, 21.86, 12.53, 17.34, 13.44, 16.86, 18.06, 21.13, 12.26]	2.0	2.0	184
A	[24.47, 23.59, 26.72, 26.42, 16.13, 17.84, 13.49, 16.22, 20.13, 10.55]	1.0	0.0	0
A	[10.3, 11.28, 15.74, 19.33, 19.93, 21.01, 15.32, 23.11, 27.62, 22.15]	4.0	0.0	0
B	[11.6, 19.56, 29.57, 25.04, 28.53, 10.27, 20.81, 23.32, 23.14, 20.28]	4.0	3.0	173
C	[20.88, 22.62, 25.76, 25.66, 17.31, 16.26, 13.08, 17.58, 28.0, 19.92]	2.0	2.0	235
C	[12.61, 29.35, 20.44, 22.57, 20.28, 18.77, 28.8, 26.32, 21.5, 28.39]	3.0	1.0	173
A	[27.82, 30.15, 26.67, 27.55, 16.78, 11.58, 23.1, 29.83, 27.9, 18.73]	4.0	4.0	205
A	[18.96, 25.63, 13.25, 16.15, 28.48, 26.31, 13.61, 17.55, 30.12, 24.39]	2.0	1.0	104
A	[29.25, 14.25, 25.46, 28.48, 20.07, 10.59, 18.9, 20.72, 15.14, 25.62]	3.0	0.0	0
A	[28.14, 14.0, 19.31, 20.25, 28.95, 19.99, 12.7, 22.62, 25.21, 23.64]	2.0	1.0	101
B	[22.39, 23.03, 24.21, 27.03, 22.66, 15.14, 10.82, 22.52, 13.84, 18.63]	2.0	1.0	176
D	[28.41, 12.05, 29.4, 10.48, 21.97, 22.12, 23.2, 17.69, 14.06, 22.91]	2.0	2.0	138
D	[13.44, 19.78, 17.32, 11.38, 13.42, 20.89, 17.5, 28.5, 17.49, 27.26]	2.0	0.0	0
D	[11.91, 17.41, 20.16, 18.5, 27.23, 15.45, 12.42, 12.24, 22.77, 23.61]	4.0	4.0	204
A	[29.16, 29.62, 27.45, 17.1, 19.4, 22.59, 24.68, 21.58, 27.89, 15.67]	3.0	0.0	0
B	[27.92, 15.57, 27.27, 25.11, 22.43, 21.78, 23.81, 19.54, 17.66, 18.41]	1.0	1.0	64
C	[10.57, 25.12, 17.36, 21.98, 19.56, 16.54, 23.13, 28.68, 18.22, 11.49]	3.0	3.0	154
A	[29.95, 23.46, 26.9, 29.72, 26.76, 25.02, 19.02, 11.39, 18.86, 21.37]	4.0	1.0	258
B	[22.37, 23.1, 21.28, 18.99, 14.99, 28.77, 19.59, 27.93, 15.69, 18.77]	3.0	0.0	0
C	[29.51, 16.06, 27.52, 13.8, 18.04, 15.62, 17.61, 14.06, 17.27, 14.41]	2.0	1.0	223
D	[11.76, 16.15, 12.05, 23.59, 11.21, 28.64, 19.79, 19.22, 23.27, 19.84]	1.0	1.0	131
C	[26.28, 16.77, 25.8, 29.14, 26.35, 18.16, 14.69, 10.47, 16.78, 14.42]	2.0	1.0	230
B	[17.62, 26.05, 28.99, 16.4, 27.43, 19.71, 16.97, 24.74, 11.03, 29.74]	3.0	0.0	0
A	[29.37, 29.18, 19.56, 27.02, 30.19, 24.64, 19.84, 20.35, 17.48, 12.35]	4.0	4.0	210
D	[17.98, 24.19, 14.94, 20.86, 16.62, 26.76, 29.9, 14.0, 16.56, 18.99]	2.0	2.0	227
C	[24.33, 16.14, 22.22, 14.57, 27.65, 20.95, 14.52, 15.09, 23.11, 16.04]	4.0	2.0	197
B	[29.35, 29.86, 29.41, 11.65, 28.91, 26.36, 21.75, 13.9, 13.94, 25.4]	3.0	1.0	281
C	[26.36, 28.74, 20.69, 20.16, 17.92, 13.06, 28.0, 24.23, 25.16, 12.82]	1.0	1.0	93
A	[27.94, 29.15, 11.96, 17.47, 20.67, 16.53, 18.24, 28.37, 24.97, 17.27]	4.0	1.0	260
A	[19.77, 24.37, 26.99, 10.63, 21.05, 17.03, 27.1, 26.53, 12.51, 22.36]	1.0	0.0	0
B	[23.74, 30.11, 25.33, 12.39, 29.03, 15.13, 11.6, 27.72, 11.15, 19.62]	3.0	0.0	0
D	[12.48, 13.81, 18.03, 28.97, 20.23, 16.33, 15.46, 28.75, 22.3, 13.36]	2.0	1.0	206
B	[22.78, 16.0, 22.07, 23.11, 22.17, 22.42, 25.01, 29.45, 24.85, 14.03]	3.0	3.0	166
C	[26.1, 24.07, 26.77, 20.53, 30.26, 18.25, 16.02, 22.12, 19.04, 19.29]	1.0	1.0	145
D	[28.74, 21.62, 27.46, 22.82, 22.67, 21.37, 21.08, 15.71, 22.0, 24.25]	3.0	2.0	205
D	[30.11, 17.19, 15.72, 20.73, 18.73, 24.05, 10.88, 23.91, 21.2, 22.28]	4.0	1.0	87
C	[12.82, 13.12, 17.14, 22.18, 10.24, 29.36, 16.13, 21.95, 18.55, 10.82]	2.0	0.0	0
B	[21.24, 18.77, 28.52, 23.32, 15.26, 14.5, 14.74, 16.24, 25.92, 22.13]	3.0	0.0	0
A	[20.74, 15.51, 29.19, 18.46, 22.08, 21.97, 18.37, 20.82, 27.77, 23.78]	4.0	2.0	159
D	[28.62, 25.77, 22.73, 28.25, 18.97, 19.15, 27.69, 12.86, 12.19, 17.44]	3.0	2.0	245
A	[17.17, 29.36, 16.17, 20.34, 26.59, 20.68, 28.54, 15.32, 22.54, 30.19]	3.0	0.0	0
C	[15.59, 10.99, 19.07, 27.97, 21.45, 16.85, 24.23, 29.74, 14.99, 22.25]	3.0	2.0	270
D	[19.6, 25.12, 20.09, 24.5, 27.55, 29.72, 12.05, 21.54, 12.5, 13.77]	1.0	1.0	256
C	[23.52, 15.05, 15.68, 15.32, 11.39, 21.42, 12.87, 25.66, 15.76, 29.18]	4.0	0.0	0
C	[15.59, 15.51, 30.21, 28.05, 23.73, 15.73, 27.85, 18.08, 14.32, 17.53]	3.0	3.0	210
C	[23.9, 15.31, 21.03, 22.64, 18.41, 11.78, 29.03, 14.43, 29.85, 17.98]	1.0	1.0	185
D	[25.77, 25.06, 16.37, 22.42, 24.23, 26.98, 23.6, 29.88, 11.76, 11.55]	3.0	0.0	0
C	[21.85, 19.88, 19.68, 13.67, 27.62, 13.44, 11.23, 12.29, 23.73, 27.01]	4.0	3.0	128
B	[16.44, 12.01, 17.9, 25.16, 29.9, 11.55, 17.12, 16.02, 17.76, 22.3]	1.0	1.0	119
A	[21.84, 13.57, 25.63, 20.18, 24.49, 29.01, 24.31, 25.57, 20.02, 27.6]	1.0	1.0	216
A	[12.64, 19.63, 14.2, 26.26, 16.39, 18.95, 27.94, 29.15, 28.49, 29.4]	1.0	0.0	0
D	[17.77, 26.85, 23.71, 16.62, 27.8, 20.61, 24.86, 25.42, 21.02, 22.07]	2.0	1.0	73
A	[11.85, 21.39, 24.78, 22.63, 26.16, 12.42, 13.03, 23.34, 15.7, 14.42]	4.0	1.0	280
D	[20.97, 23.57, 23.59, 30.28, 11.62, 23.71, 14.47, 16.28, 19.23, 15.28]	3.0	1.0	234
B	[16.5, 18.63, 12.42, 15.81, 29.56, 17.91, 21.16, 19.23, 13.77, 11.24]	2.0	2.0	244
B	[17.4, 12.94, 11.78, 25.05, 19.22, 15.51, 10.86, 18.5, 21.33, 28.0]	1.0	0.0	0
B	[24.34, 27.86, 14.72, 26.81, 12.33, 13.0, 23.45, 18.0, 21.54, 26.1]	3.0	1.0	221
C	[20.41, 11.32, 29.29, 25.92, 10.99, 18.72, 10.78, 13.25, 27.08, 26.77]	4.0	2.0	176
B	[18.09, 12.95, 22.53, 26.58, 15.42, 13.94, 21.17, 19.27, 16.19, 21.78]	2.0	1.0	272
B	[12.85, 22.08, 20.74, 19.47, 23.69, 19.92, 21.33, 26.73, 28.47, 13.36]	1.0	0.0	0
B	[27.33, 10.97, 24.55, 10.41, 24.44, 18.97, 13.37, 27.95, 19.82, 15.84]	3.0	0.0	0
C	[14.0, 23.26, 27.32, 25.85, 19.56, 15.47, 22.52, 27.76, 28.46, 16.19]	1.0	0.0	0
D	[25.46, 27.86, 20.15, 20.45, 15.86, 19.35, 18.34, 16.63, 14.74, 25.09]	3.0	1.0	191
D	[24.57, 27.07, 14.51, 29.56, 11.48, 27.84, 14.44, 24.19, 17.28, 29.9]	1.0	1.0	144
B	[19.8, 28.83, 12.88, 22.74, 11.26, 12.71, 27.97, 17.43, 25.61, 30.01]	3.0	2.0	219
D	[24.46, 16.36, 10.35, 20.67, 29.52, 12.55, 22.17, 11.16, 24.81, 16.17]	1.0	1.0	223
D	[20.4, 28.98, 16.64, 27.72, 23.62, 25.21, 12.53, 27.31, 27.96, 12.65]	2.0	1.0	95
B	[23.36, 10.69, 22.67, 10.58, 18.75, 18.5, 25.74, 12.12, 13.06, 30.2]	2.0	2.0	132
A	[28.21, 29.71, 27.91, 16.95, 11.31, 11.78, 29.7, 18.62, 20.49, 19.56]	2.0	2.0	159
D	[18.35, 27.23, 23.65, 23.87, 30.23, 27.87, 20.16, 20.44, 26.21, 29.46]	4.0	1.0	243
C	[29.96, 11.56, 13.71, 29.24, 22.36, 20.9, 12.19, 10.37, 20.4, 21.33]	2.0	2.0	145
B	[18.93, 19.13, 12.79, 19.38, 30.17, 16.34, 29.57, 22.15, 10.81, 29.26]	3.0	0.0	0
C	[28.18, 26.84, 12.02, 19.72, 22.43, 16.11, 24.9, 10.31, 12.97, 14.86]	3.0	2.0	144
A	[20.69, 30.1, 29.71, 21.94, 20.62, 18.82, 20.06, 10.56, 12.45, 12.53]	1.0	0.0	0
D	[21.09, 11.78, 16.64, 19.37, 19.19, 11.62, 21.15, 30.09, 26.39, 15.2]	3.0	3.0	163
A	[16.62, 16.93, 27.9, 24.45, 29.8, 17.68, 20.33, 14.99, 15.73, 12.13]	3.0	3.0	109
A	[20.99, 12.68, 18.58, 20.14, 17.06, 12.54, 29.45, 16.96, 10.7, 29.17]	3.0	2.0	201
B	[17.83, 22.15, 25.06, 11.3, 25.69, 11.19, 26.4, 18.42, 27.43, 10.59]	4.0	2.0	248
D	[30.29, 27.41, 20.71, 13.19, 22.01, 21.47, 12.33, 17.21, 10.24, 12.97]	4.0	4.0	193
D	[29.97, 11.14, 11.83, 27.54, 10.23, 19.35, 13.49, 16.62, 10.21, 14.49]	4.0	1.0	274
C	[10.94, 20.03, 11.98, 25.06, 12.22, 20.96, 21.45, 25.54, 23.48, 14.53]	4.0	1.0	142
A	[11.27, 25.37, 26.94, 24.76, 23.55, 11.08, 30.01, 15.32, 23.67, 18.5]	1.0	1.0	149
C	[15.54, 26.66, 16.34, 18.55, 15.69, 20.25, 23.28, 14.37, 26.47, 21.82]	2.0	0.0	0
C	[21.56, 15.91, 14.67, 22.97, 22.16, 18.48, 26.41, 17.61, 23.6, 17.0]	4.0	3.0	190
B	[11.68, 28.32, 27.88, 14.74, 12.64, 11.1, 15.86, 14.78, 23.08, 24.21]	1.0	0.0	0
D	[29.98, 21.85, 22.1, 22.57, 25.04, 17.44, 24.48, 25.51, 26.79, 28.7]	3.0	2.0	215
C	[18.69, 24.99, 22.23, 21.15, 17.56, 13.95, 11.88, 28.84, 16.0, 28.04]	2.0	1.0	96
B	[27.34, 19.14, 17.85, 26.94, 22.24, 14.82, 19.13, 12.52, 28.76, 16.28]	4.0	4.0	191
A	[18.21, 23.9, 20.75, 19.34, 24.75, 14.13, 16.57, 14.75, 18.73, 14.27]	3.0	2.0	124
D	[16.14, 12.74, 28.8, 16.86, 25.26, 13.91, 18.52, 22.86, 17.73, 10.21]	3.0	3.0	215
A	[17.89, 29.22, 10.72, 13.71, 18.98, 20.01, 13.01, 27.88, 25.3, 20.35]	3.0	1.0	158
B	[28.64, 24.23, 27.45, 22.73, 24.88, 28.7, 17.21, 20.36, 17.97, 24.34]	4.0	3.0	171
A	[25.89, 25.28, 14.13, 14.67, 29.37, 29.52, 19.93, 25.25, 16.65, 28.33]	4.0	4.0	175
C	[27.23, 12.59, 29.03, 24.23, 24.58, 10.27, 24.19, 25.24, 12.33, 20.09]	3.0	0.0	0
D	[15.71, 12.25, 25.13, 16.11, 26.85, 16.17, 15.79, 15.2, 30.08, 29.61]	4.0	1.0	113
A	[11.91, 27.0, 24.48, 19.38, 24.86, 19.35, 30.1, 28.99, 19.1, 26.24]	4.0	2.0	193
D	[18.83, 23.32, 17.96, 23.84, 23.43, 20.16, 12.27, 11.22, 10.99, 12.93]	3.0	1.0	143
C	[27.22, 11.14, 18.31, 19.72, 24.87, 10.55, 11.7, 22.09, 20.66, 16.96]	2.0	0.0	0
D	[21.54, 11.04, 28.19, 22.21, 19.24, 22.36, 16.48, 16.42, 13.31, 22.72]	2.0	2.0	130
D	[23.92, 17.36, 19.77, 17.16, 26.85, 18.16, 19.8, 28.99, 24.85, 30.27]	1.0	0.0	0
B	[18.96, 17.26, 13.6, 19.43, 23.01, 10.75, 10.76, 25.58, 26.93, 26.59]	2.0	2.0	171
D	[11.14, 10.22, 13.07, 13.42, 11.43, 12.31, 12.31, 16.04, 23.01, 19.34]	3.0	3.0	158
C	[28.26, 19.96, 22.11, 20.22, 18.85, 24.68, 21.23, 26.63, 14.39, 14.99]	1.0	0.0	0
C	[24.9, 10.98, 15.08, 14.17, 24.28, 29.41, 22.13, 22.9, 21.89, 14.08]	3.0	1.0	115
B	[16.69, 26.17, 27.27, 30.25, 14.68, 24.88, 14.57, 26.94, 27.52, 30.27]	2.0	0.0	0
C	[30.21, 25.27, 14.21, 17.95, 24.45, 29.47, 24.15, 19.47, 24.83, 15.5]	3.0	1.0	233
C	[25.9, 18.04, 11.36, 14.78, 27.6, 25.27, 11.79, 16.66, 27.97, 26.44]	3.0	0.0	0
